_time,label,cycle_id
2023-12-12 12:16:21.751,Normal,5_205
2023-12-12 05:02:29.843,Normal,5_118
2023-12-12 14:42:24.409,Normal,5_234
2023-12-12 05:07:00.757,Normal,5_119
2023-12-11 14:40:43.954,Normal,2_3
2023-12-12 09:35:26.345,Normal,5_173
2023-12-12 07:29:45.844,Normal,5_147
2023-12-12 14:06:42.637,Normal,5_227
2023-12-12 06:34:40.759,Normal,5_136
2023-12-11 14:03:52.337,Normal,1_3
2023-12-12 07:52:01.442,Normal,5_152
2023-12-12 04:58:12.540,Normal,5_117
2023-12-12 07:36:07.140,Normal,5_149
2023-12-12 06:33:43.850,Normal,5_136
2023-12-12 15:01:53.678,Normal,5_238
2023-12-12 09:45:57.644,Normal,5_175
2023-12-12 13:43:18.460,Normal,5_223
2023-12-12 05:30:10.658,Normal,5_123
2023-12-12 07:04:17.836,Normal,5_142
2023-12-12 14:03:05.449,Normal,5_227
2023-12-12 10:11:04.856,Normal,5_180
2023-12-12 05:24:01.449,Normal,5_122
2023-12-12 10:39:02.742,Normal,5_185
2023-12-12 11:20:54.043,Normal,5_194
2023-12-12 07:14:29.857,Normal,5_144
2023-12-12 13:29:27.136,Normal,5_220
2023-12-12 15:01:28.543,Normal,5_238
2023-12-12 06:18:55.345,Normal,5_133
2023-12-12 12:39:10.538,Normal,5_210
2023-12-12 06:37:37.546,Normal,5_137
2023-12-12 13:16:21.153,Normal,5_217
2023-12-12 07:31:09.543,Normal,5_148
2023-12-12 05:37:14.975,Normal,5_125
2023-12-12 09:13:29.973,Normal,5_168
2023-12-12 07:38:47.145,Normal,5_149
2023-12-12 13:03:48.657,Normal,5_215
2023-12-12 09:05:46.549,Normal,5_167
2023-12-12 10:25:06.450,Normal,5_183
2023-12-12 06:32:43.159,Normal,5_136
2023-12-11 14:04:19.753,Normal,1_3
2023-12-12 08:21:03.943,Normal,5_158
2023-12-12 05:38:12.034,Normal,5_125
2023-12-12 05:05:37.441,Normal,5_119
2023-12-12 11:44:56.165,Normal,5_199
2023-12-12 07:14:47.884,Normal,5_144
2023-12-12 06:11:14.837,Normal,5_132
2023-12-11 14:07:53.240,Normal,1_4
2023-12-12 07:25:40.848,Normal,5_147
2023-12-11 14:19:41.256,Normal,1_6
2023-12-12 09:16:07.243,Normal,5_169
2023-12-12 10:44:52.740,Normal,5_187
2023-12-12 07:31:38.555,Normal,5_148
2023-12-12 14:39:09.444,Normal,5_234
2023-12-12 10:57:12.935,Normal,5_189
2023-12-12 11:44:57.244,Normal,5_199
2023-12-12 13:35:58.043,Normal,5_221
2023-12-12 15:01:21.142,Normal,5_238
2023-12-11 15:15:10.449,Normal,2_10
2023-12-12 10:55:46.445,Normal,5_189
2023-12-12 04:54:12.638,Normal,5_116
2023-12-12 11:39:07.055,Normal,5_197
2023-12-12 15:28:22.747,Normal,5_243
2023-12-12 07:38:57.659,Normal,5_149
2023-12-11 14:38:53.848,Normal,2_3
2023-12-12 05:47:14.687,Normal,5_127
2023-12-12 10:05:19.143,Normal,5_179
2023-12-11 14:18:47.153,Normal,1_6
2023-12-12 12:53:01.742,Normal,5_212
2023-12-12 14:59:46.910,Normal,5_238
2023-12-12 07:05:36.247,Normal,5_143
2023-12-12 05:33:41.539,Normal,5_124
2023-12-12 09:19:14.745,Normal,5_169
2023-12-12 11:48:10.748,Normal,5_199
2023-12-12 07:25:24.254,Normal,5_147
2023-12-12 11:05:43.344,Normal,5_191
2023-12-12 07:47:49.749,Normal,5_151
2023-12-12 14:57:37.146,Normal,5_238
2023-12-12 10:34:29.458,Normal,5_184
